07:23:27.781 [Thread-18] INFO  algoGenetico.PopulationEvo - Thread: Thread-18 | Generation no: 2
07:23:28.199 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 15
07:23:28.526 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=18, nrFitIndividuals=48, tournamentSize=18, seed=5268, hiddenDimSize=21, mutationProb=0.40812561398147307, populationSize=105}
07:23:29.479 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 13
07:23:29.617 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | Generation no: 1
07:23:29.998 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 22
07:23:30.342 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | Generation no: 2
07:23:30.453 [Thread-11] INFO  algoGenetico.PopulationEvo - Thread: Thread-11 | Generation no: 8
07:23:30.759 [Thread-5] INFO  algoGenetico.PopulationEvo - Thread: Thread-5 | Generation no: 9
07:23:31.064 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 19
07:23:31.100 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | Generation no: 3
07:23:31.303 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 14
07:23:31.456 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=66, nrFitIndividuals=119, tournamentSize=13, seed=4322, hiddenDimSize=11, mutationProb=0.5829965835990552, populationSize=636}
07:23:32.089 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | Generation no: 4
07:23:32.537 [Thread-15] INFO  algoGenetico.PopulationEvo - Thread: Thread-15 | Generation no: 3
07:23:33.082 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | Generation no: 5
07:23:33.866 [Thread-9] INFO  algoGenetico.PopulationEvo - Thread: Thread-9 | Generation no: 11
07:23:34.008 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | Generation no: 6
07:23:34.227 [Thread-19] INFO  algoGenetico.PopulationEvo - Thread: Thread-19 | Generation no: 1
07:23:34.545 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 23
07:23:34.857 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | Generation no: 7
07:23:35.009 [Thread-17] INFO  algoGenetico.PopulationEvo - Thread: Thread-17 | Generation no: 3
07:23:35.042 [Thread-22] INFO  algoGenetico.PopulationEvo - Thread: Thread-22 | Generation no: 1
07:23:35.140 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=51, nrFitIndividuals=77, tournamentSize=2, seed=5744, hiddenDimSize=15, mutationProb=0.7476120973526705, populationSize=702}
07:23:35.718 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | Generation no: 8
07:23:36.770 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | Generation no: 9
07:23:36.800 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 20
07:23:37.470 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=17, nrFitIndividuals=355, tournamentSize=206, seed=1484, hiddenDimSize=1, mutationProb=0.40235576640731974, populationSize=714}
07:23:37.691 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | Generation no: 10
07:23:37.741 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 15
07:23:39.053 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | Generation no: 11
07:23:39.136 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 14
07:23:39.141 [Thread-23] INFO  algoGenetico.PopulationEvo - Thread: Thread-23 | Generation no: 1
07:23:39.595 [Thread-22] INFO  algoGenetico.PopulationEvo - Thread: Thread-22 | Generation no: 2
07:23:39.775 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 16
07:23:39.858 [Thread-20] INFO  algoGenetico.PopulationEvo - Thread: Thread-20 | Generation no: 1
07:23:40.037 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | Generation no: 12
07:23:40.562 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 24
07:23:40.953 [Thread-24] INFO  algoGenetico.PopulationEvo - Thread: Thread-24 | Generation no: 1
07:23:40.986 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | Generation no: 13
07:23:41.521 [Thread-18] INFO  algoGenetico.PopulationEvo - Thread: Thread-18 | Generation no: 3
07:23:42.235 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | Generation no: 14
07:23:42.868 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 21
07:23:43.112 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | Generation no: 15
07:23:43.472 [Thread-23] INFO  algoGenetico.PopulationEvo - Thread: Thread-23 | Generation no: 2
07:23:43.549 [Thread-9] INFO  algoGenetico.PopulationEvo - Thread: Thread-9 | Generation no: 12
07:23:44.267 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | Generation no: 16
07:23:44.552 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 16
07:23:44.658 [Thread-24] INFO  algoGenetico.PopulationEvo - Thread: Thread-24 | Generation no: 2
07:23:44.957 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=71, nrFitIndividuals=359, tournamentSize=157, seed=2301, hiddenDimSize=45, mutationProb=0.9605323783625027, populationSize=749}
07:23:45.553 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | Generation no: 17
07:23:45.613 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=13, nrFitIndividuals=34, tournamentSize=2, seed=3780, hiddenDimSize=5, mutationProb=0.5745714047866582, populationSize=116}
07:23:46.220 [Thread-22] INFO  algoGenetico.PopulationEvo - Thread: Thread-22 | Generation no: 3
07:23:46.687 [Thread-26] INFO  algoGenetico.PopulationEvo - Thread: Thread-26 | Generation no: 1
07:23:46.848 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | Generation no: 18
07:23:46.848 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | Fittest: 31056.0
07:23:46.849 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | GOING TO WRITE... writing file
07:23:46.849 [Thread-21] INFO  algoGenetico.PopulationEvo - Thread: Thread-21 | WROTE Fittest: 31056.0
07:23:47.318 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 25
07:23:47.455 [Thread-26] INFO  algoGenetico.PopulationEvo - Thread: Thread-26 | Generation no: 2
07:23:47.627 [Thread-5] INFO  algoGenetico.PopulationEvo - Thread: Thread-5 | Generation no: 10
07:23:48.792 [Thread-23] INFO  algoGenetico.PopulationEvo - Thread: Thread-23 | Generation no: 3
07:23:48.880 [Thread-26] INFO  algoGenetico.PopulationEvo - Thread: Thread-26 | Generation no: 3
07:23:49.150 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=72, nrFitIndividuals=131, tournamentSize=27, seed=2621, hiddenDimSize=26, mutationProb=0.6555605073375834, populationSize=316}
07:23:49.386 [Thread-26] INFO  algoGenetico.PopulationEvo - Thread: Thread-26 | Generation no: 4
07:23:49.923 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 22
07:23:50.084 [Thread-26] INFO  algoGenetico.PopulationEvo - Thread: Thread-26 | Generation no: 5
07:23:50.391 [Thread-11] INFO  algoGenetico.PopulationEvo - Thread: Thread-11 | Generation no: 9
07:23:50.534 [Thread-26] INFO  algoGenetico.PopulationEvo - Thread: Thread-26 | Generation no: 6
07:23:50.735 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 15
07:23:51.099 [Thread-26] INFO  algoGenetico.PopulationEvo - Thread: Thread-26 | Generation no: 7
07:23:51.671 [Thread-26] INFO  algoGenetico.PopulationEvo - Thread: Thread-26 | Generation no: 8
